"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHN","GDP","TOT","MLN_USD","A","2000",3683440.252,
"CHN","GDP","TOT","MLN_USD","A","2001",4080386.422,
"CHN","GDP","TOT","MLN_USD","A","2002",4522476.428,
"CHN","GDP","TOT","MLN_USD","A","2003",5074658.797,
"CHN","GDP","TOT","MLN_USD","A","2004",5737895.201,
"CHN","GDP","TOT","MLN_USD","A","2005",6592135.857,
"CHN","GDP","TOT","MLN_USD","A","2006",7660000.527,
"CHN","GDP","TOT","MLN_USD","A","2007",8986556.087,
"CHN","GDP","TOT","MLN_USD","A","2008",10042809.899,
"CHN","GDP","TOT","MLN_USD","A","2009",11057124.917,
"CHN","GDP","TOT","MLN_USD","A","2010",12380166.279,
"CHN","GDP","TOT","MLN_USD","A","2011",13844365.747,
"CHN","GDP","TOT","MLN_USD","A","2012",15124539.502,
"CHN","GDP","TOT","MLN_USD","A","2013",16185062.522,
"CHN","GDP","TOT","MLN_USD","A","2014",17121277.096,
"CHN","GDP","TOT","MLN_USD","A","2015",17796747.039,
"CHN","GDP","TOT","MLN_USD","A","2016",18712097.153,
"CHN","GDP","TOT","MLN_USD","A","2017",19887035.113,
"CHN","GDP","TOT","MLN_USD","A","2018",21736534.82,
"CHN","GDP","TOT","MLN_USD","A","2019",23441904.021,
"CHN","GDP","TOT","MLN_USD","A","2020",24255795.538,
"CHN","GDP","TOT","MLN_USD","A","2021",27312555.458,
